10001
(00000) Freq	Fast Fourier Transform
(00545) +54.39    |  +4.28936 j +0.74021
(00546) +54.49    |  -1.17991 j -0.20400
(00547) +54.59    |  -2.36724 j -0.41004
(00548) +54.69    |  +4.99970 j +0.86764
(00549) +54.79    |  -5.71840 j -0.99422
(00550) +54.89    |  +4.25679 j +0.74147
(00551) +54.99    |  -1.17954 j -0.20584
(00552) +55.09    |  -2.33550 j -0.40832
(00553) +55.19    |  +4.94815 j +0.86671
(00554) +55.29    |  -5.66680 j -0.99442
(00555) +55.39    |  +4.22478 j +0.74274
(00556) +55.49    |  -1.17917 j -0.20769
(00557) +55.59    |  -2.30431 j -0.40660
(00558) +55.69    |  +4.89749 j +0.86576
(00559) +55.79    |  -5.61610 j -0.99462
(00560) +55.89    |  +4.19332 j +0.74400
(00561) +55.99    |  -1.17880 j -0.20953
(00562) +56.09    |  -2.27368 j -0.40488
(00563) +56.19    |  +4.84772 j +0.86482
(00564) +56.29    |  -5.56626 j -0.99481
(00565) +56.39    |  +4.16239 j +0.74526
(00566) +56.49    |  -1.17842 j -0.21137
(00567) +56.59    |  -2.24357 j -0.40316
(00568) +56.69    |  +4.79880 j +0.86387
(00569) +56.79    |  -5.51728 j -0.99500
(00570) +56.89    |  +4.13198 j +0.74651
(00571) +56.99    |  -1.17804 j -0.21321
(00572) +57.09    |  -2.21399 j -0.40143
(00573) +57.19    |  +4.75071 j +0.86292
(00574) +57.29    |  -5.46912 j -0.99519
(00575) +57.39    |  +4.10208 j +0.74777
(00576) +57.49    |  -1.17765 j -0.21506
(00577) +57.59    |  -2.18491 j -0.39970
(00578) +57.69    |  +4.70344 j +0.86197
(00579) +57.79    |  -5.42176 j -0.99537
(00580) +57.89    |  +4.07267 j +0.74902
(00581) +57.99    |  -1.17726 j -0.21690
(00582) +58.09    |  -2.15632 j -0.39798
(00583) +58.19    |  +4.65695 j +0.86101
(00584) +58.29    |  -5.37519 j -0.99555
(00585) +58.39    |  +4.04374 j +0.75026
